Date,9988.HK,BABA
2021-11-10,160.9187774658203,161.7950439453125
2021-11-11,162.915283203125,165.6235809326172
2021-11-12,162.11666870117188,164.5973663330078
2021-11-15,161.21824645996094,164.33094787597656
2021-11-16,164.9117889404297,166.1958770751953
2021-11-17,164.5124969482422,159.43675231933594
2021-11-18,155.72784423828125,141.69525146484375
2021-11-19,139.05699157714844,138.4784698486328
2021-11-22,136.86082458496094,134.8078155517578
2021-11-23,132.76797485351562,131.8870849609375
2021-11-24,131.570068359375,134.7091522216797
2021-11-25,135.1637725830078,
2021-11-26,128.87478637695312,131.58120727539062
2021-11-29,129.77320861816406,129.86427307128906
2021-11-30,127.07791900634766,125.83839416503906
2021-12-01,125.48070526123047,120.86524963378906
2021-12-02,122.38611602783203,120.38175201416016
2021-12-03,119.19170379638672,110.47492218017578
2021-12-06,112.50338745117188,121.96052551269531
2021-12-07,126.27931213378906,123.87479400634766
2021-12-08,120.38960266113281,123.4208984375
2021-12-09,123.18472290039062,122.26641845703125
2021-12-10,120.98855590820312,123.40115356445312
2021-12-13,120.88873291015625,120.61856079101562
2021-12-14,118.492919921875,124.9010009765625
2021-12-15,120.78890991210938,120.84551239013672
2021-12-16,120.48942565917969,118.65496063232422
2021-12-17,116.79588317871094,120.48042297363281
2021-12-20,114.30024719238281,113.47460174560547
2021-12-21,113.7012939453125,121.3487548828125
2021-12-22,114.69954681396484,116.24732208251953
2021-12-23,113.10234069824219,117.08605194091797
2021-12-24,112.80286407470703,
2021-12-27,,115.04350280761719
2021-12-28,113.30199432373047,113.27725219726562
2021-12-29,110.40705108642578,110.60319519042969
2021-12-30,109.7082748413086,121.35861206054688
2021-12-31,118.69257354736328,117.21432495117188
2022-01-03,114.79937744140625,118.78323364257812
2022-01-04,116.69606018066406,117.97411346435547
2022-01-05,114.30024719238281,119.55289459228516
2022-01-06,120.78890991210938,124.95033264160156
2022-01-07,128.57530212402344,128.08815002441406
2022-01-10,127.37738800048828,126.59818267822266
2022-01-11,125.3808822631836,130.43658447265625
2022-01-12,132.76797485351562,135.58734130859375
2022-01-13,131.9693603515625,129.62745666503906
2022-01-14,129.07443237304688,129.82481384277344
2022-01-17,128.27581787109375,
2022-01-18,126.17948913574219,126.89421081542969
2022-01-19,123.98332214355469,126.04560852050781
2022-01-20,131.2705841064453,129.29197692871094
2022-01-21,126.87826538085938,121.5954360961914
2022-01-24,118.89221954345703,118.77336883544922
2022-01-25,116.59623718261719,117.55968475341797
2022-01-26,116.69606018066406,111.86622619628906
2022-01-27,108.31071472167969,110.30717468261719
2022-01-28,109.80809783935547,113.70155334472656
2022-01-31,114.49989318847656,124.12147521972656
2022-02-01,,125.53250885009766
2022-02-02,,121.25007629394531
2022-02-03,,121.8322525024414
2022-02-04,120.18995666503906,120.59883117675781
2022-02-07,114.79937744140625,113.29698944091797
2022-02-08,111.0060043334961,120.28307342529297
2022-02-09,118.5927505493164,124.82205963134766
2022-02-10,121.98680877685547,122.33548736572266
2022-02-11,122.18647003173828,120.62843322753906
2022-02-14,118.492919921875,120.30281066894531
